date,market,ticker,name,instrument_type_candidate,open,high,low,close,volume,turnover_value,source_route,source_url,source_quality,adjustment_policy,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2026-07-07,TWSE,1326,台化,common_stock_candidate,66.80,66.80,63.30,63.30,52450563,3403982520,twse_mi_index_allbut0999,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20260707&type=ALLBUT0999&response=json,official_eod_unadjusted_ohlcv,unadjusted_ohlc_only_adjusted_close_blocked_not_fabricated,0,False,False,False,True,False,False,False,True,False
2026-07-07,TWSE,1337,再生-KY,common_stock_candidate,5.54,5.54,5.17,5.17,1063166,5629130,twse_mi_index_allbut0999,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20260707&type=ALLBUT0999&response=json,official_eod_unadjusted_ohlcv,unadjusted_ohlc_only_adjusted_close_blocked_not_fabricated,0,False,False,False,True,False,False,False,True,False
2026-07-07,TWSE,1338,廣華-KY,common_stock_candidate,17.65,17.65,17.20,17.45,181315,3162102,twse_mi_index_allbut0999,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20260707&type=ALLBUT0999&response=json,official_eod_unadjusted_ohlcv,unadjusted_ohlc_only_adjusted_close_blocked_not_fabricated,0,False,False,False,True,False,False,False,True,False
2026-07-07,TWSE,1339,昭輝,common_stock_candidate,46.30,46.30,44.80,45.20,171658,7769773,twse_mi_index_allbut0999,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20260707&type=ALLBUT0999&response=json,official_eod_unadjusted_ohlcv,unadjusted_ohlc_only_adjusted_close_blocked_not_fabricated,0,False,False,False,True,False,False,False,True,False
2026-07-07,TWSE,1340,勝悅-KY,common_stock_candidate,5.90,5.90,5.65,5.71,253235,1450477,twse_mi_index_allbut0999,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20260707&type=ALLBUT0999&response=json,official_eod_unadjusted_ohlcv,unadjusted_ohlc_only_adjusted_close_blocked_not_fabricated,0,False,False,False,True,False,False,False,True,False
2026-07-07,TWSE,1341,富林-KY,common_stock_candidate,57.50,59.80,57.00,57.60,7102,413665,twse_mi_index_allbut0999,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20260707&type=ALLBUT0999&response=json,official_eod_unadjusted_ohlcv,unadjusted_ohlc_only_adjusted_close_blocked_not_fabricated,0,False,False,False,True,False,False,False,True,False
2026-07-07,TWSE,1342,八貫,common_stock_candidate,115.50,116.50,112.50,113.00,638661,72691552,twse_mi_index_allbut0999,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20260707&type=ALLBUT0999&response=json,official_eod_unadjusted_ohlcv,unadjusted_ohlc_only_adjusted_close_blocked_not_fabricated,0,False,False,False,True,False,False,False,True,False
2026-07-07,TWSE,1402,遠東新,common_stock_candidate,29.05,29.10,28.20,28.35,21682221,617706774,twse_mi_index_allbut0999,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20260707&type=ALLBUT0999&response=json,official_eod_unadjusted_ohlcv,unadjusted_ohlc_only_adjusted_close_blocked_not_fabricated,0,False,False,False,True,False,False,False,True,False
2026-07-07,TWSE,1409,新纖,common_stock_candidate,31.35,33.25,30.80,31.70,205543435,6694122892,twse_mi_index_allbut0999,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20260707&type=ALLBUT0999&response=json,official_eod_unadjusted_ohlcv,unadjusted_ohlc_only_adjusted_close_blocked_not_fabricated,0,False,False,False,True,False,False,False,True,False
2026-07-07,TWSE,1410,南染,common_stock_candidate,26.20,27.40,25.90,27.00,371052,9780856,twse_mi_index_allbut0999,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20260707&type=ALLBUT0999&response=json,official_eod_unadjusted_ohlcv,unadjusted_ohlc_only_adjusted_close_blocked_not_fabricated,0,False,False,False,True,False,False,False,True,False
