family,market,source_url,http_status,response_bytes,source_hash,retrieved_at,status,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
margin_short,TPEx,https://www.tpex.org.tw/www/zh-tw/margin/balance,200,106262,63c902bac8d0b1f0506009f36827812e1685f4533ac3b01898d1e1c9ab81d76b,,accepted,,,,,,,,,
securities_lending,TPEx,https://www.tpex.org.tw/www/zh-tw/margin/sbl,200,99593,cd9a9bb76a69d1dc206a1a923e2af028479701a5f9eadcc776a999f41a6872d2,,accepted,,,,,,,,,
foreign_ownership,TWSE,https://www.twse.com.tw/fund/MI_QFIIS?response=json&date=20260707&selectType=ALLBUT0999,200,,6db1d15ed18c3dea6499e4a397714db46e492a89f8ee3b855444f16e4ba9261d,,accepted,,,,,,,,,
foreign_ownership,TPEx,https://www.tpex.org.tw/www/zh-tw/insti/qfii?date=2026%2F07%2F07&response=json,200,,eaf0b0e61cc4b97802dbe021d3a0bec586232bb0bf6fa7c0bed3db2248a3b424,,accepted,,,,,,,,,
official_raw_execution_ohlcv,TWSE,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260708&type=ALLBUT0999&response=json,200,246531,294e0d9d42266f0b29371deeb33e1e1f6150d239c7f4fed7cfed10e03f51090d,,accepted,,,,,,,,,
official_raw_execution_ohlcv,TPEx,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2026/07/08&response=json,200,1503250,35125b3de911a8948b6aeccf0efe66a4870bd85106468bd3175f119cbc9fdcfb,,accepted,,,,,,,,,
institutional,TWSE,https://www.twse.com.tw/fund/T86?date=20260708&selectType=ALLBUT0999&response=json,200,197960,4943e5879bb5cb0f74dde214c180992cebdb66fb771418970a583d29f7bd261e,,accepted,,,,,,,,,
margin_short,TWSE,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20260708&selectType=ALL&response=json,200,127490,339553c4adac99c3953a035ccf8630b5a9f7040ca0b302f514ed132039e054af,,accepted,,,,,,,,,
securities_lending,TWSE,https://www.twse.com.tw/exchangeReport/TWT72U?date=20260708&response=json,200,200347,64051cd36c5c2afbf10e75e570a0e440c0a96767df4719ca0bd99ccad5df8e05,,accepted,,,,,,,,,
institutional,TPEx,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade,200,151279,7ee316514563703fa50f99fd04d9ee9383f25e7ab0cabaa992c2161ec2c91be9,,accepted,,,,,,,,,
margin_short,TPEx,https://www.tpex.org.tw/www/zh-tw/margin/balance,200,106143,ed52303a67d7b1ddba0bf297df7a64390c81d9de36391c4a6a2dd2964d1b9ffc,,accepted,,,,,,,,,
securities_lending,TPEx,https://www.tpex.org.tw/www/zh-tw/margin/sbl,200,99108,f267a89b773ad90982086a8b5c7d07e6dc13de63f35cab36504018e2790ba31a,,accepted,,,,,,,,,
foreign_ownership,TWSE,https://www.twse.com.tw/fund/MI_QFIIS?response=json&date=20260708&selectType=ALLBUT0999,200,,3f16af45ae106e3041e17b242102ff2ecf41507cbae24aebde3240837a5b2afe,,accepted,,,,,,,,,
foreign_ownership,TPEx,https://www.tpex.org.tw/www/zh-tw/insti/qfii?date=2026%2F07%2F08&response=json,200,,0413450958a4c3181bd9fb6a00b5cb0d5c9fdae49e0476eb14e214120f5824a0,,accepted,,,,,,,,,
official_raw_execution_ohlcv,TWSE,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260709&type=ALLBUT0999&response=json,200,245865,b5753cce032fcddf9e606c16a73c9d5cabfd7097a5db3cf9f6f63d76e7398b0c,,accepted,,,,,,,,,
official_raw_execution_ohlcv,TPEx,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2026/07/09&response=json,200,1514115,db9446f79cf29c6bf944c394bebe80aafcf0e609caae379197b72320e2fca60a,,accepted,,,,,,,,,
institutional,TWSE,https://www.twse.com.tw/fund/T86?date=20260709&selectType=ALLBUT0999&response=json,200,198986,4f413b1d6262a1d256edd8f65e968987e9ac42b00a8ce22acb4d08ccb7d4236e,,accepted,,,,,,,,,
margin_short,TWSE,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20260709&selectType=ALL&response=json,200,127327,81dedeaf35133631653a5baf00757bc08dbbff85066bff5fb34fd8b826e7c493,,accepted,,,,,,,,,
securities_lending,TWSE,https://www.twse.com.tw/exchangeReport/TWT72U?date=20260709&response=json,200,199928,a7d60c4ef88a79014b2551dba099ca39225ac2f63de04e349ef91201db965caf,,accepted,,,,,,,,,
institutional,TPEx,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade,200,150274,d4e1ab6e85263f8de67d7cb368d7a2797b1fa157a2d5573773798b30b40000bd,,accepted,,,,,,,,,
margin_short,TPEx,https://www.tpex.org.tw/www/zh-tw/margin/balance,200,106162,1465ed98175fdddd9c157e02a3d023df99e9ec487dfa7068cf059a1a3b9d91ef,,accepted,,,,,,,,,
securities_lending,TPEx,https://www.tpex.org.tw/www/zh-tw/margin/sbl,200,98917,db50d02c5f1e154fa8d81662ef1e82647ed313acab45d507f284d7bdd3c39c76,,accepted,,,,,,,,,
foreign_ownership,TWSE,https://www.twse.com.tw/fund/MI_QFIIS?response=json&date=20260709&selectType=ALLBUT0999,200,,a1d2ea2b3a6d95350a17e9a84f22b3ab8a5b69ecd5e8c0c6baa1db46d2313ba2,,accepted,,,,,,,,,
foreign_ownership,TPEx,https://www.tpex.org.tw/www/zh-tw/insti/qfii?date=2026%2F07%2F09&response=json,200,,b1af87e1b25a32072c3968af66a58d35fa3b4fbdf1e2e0c278691f6ebc2134fa,,accepted,,,,,,,,,
official_raw_execution_ohlcv,TWSE,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260710&type=ALLBUT0999&response=json,200,71,a5691b2512d7068ab2f69df75c3ef8fbc38dc565086422b1602656895c92c652,,no_rows,,,,,,,,,
official_raw_execution_ohlcv,TPEx,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2026/07/10&response=json,200,1630,dbe663baef40aedfd8a73857f8b71e8ef7b86cd46138d8637dfbe87345e87b5b,,no_rows,,,,,,,,,
