ticker,market,event_inventory_rows,event_inventory_available,no_event_completeness_proven,official_adjusted_complete,status
3008,TWSE,8,True,False,False,partial_event_inventory_no_no_event_proof
3010,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3013,TWSE,3,True,False,False,partial_event_inventory_no_no_event_proof
3014,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
3017,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3019,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3022,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3023,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3025,TWSE,6,True,False,False,partial_event_inventory_no_no_event_proof
3026,TWSE,6,True,False,False,partial_event_inventory_no_no_event_proof
3027,TWSE,2,True,False,False,partial_event_inventory_no_no_event_proof
3029,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3030,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3032,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3033,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3034,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
3035,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
3036,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3037,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
3042,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
3043,TWSE,1,True,False,False,partial_event_inventory_no_no_event_proof
3044,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
3045,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3046,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3047,TWSE,2,True,False,False,partial_event_inventory_no_no_event_proof
3048,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3056,TWSE,6,True,False,False,partial_event_inventory_no_no_event_proof
3059,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3078,TPEx,4,True,False,False,partial_event_inventory_no_no_event_proof
3081,TPEx,4,True,False,False,partial_event_inventory_no_no_event_proof
3088,TPEx,5,True,False,False,partial_event_inventory_no_no_event_proof
3090,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3094,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
3105,TPEx,3,True,False,False,partial_event_inventory_no_no_event_proof
3128,TPEx,5,True,False,False,partial_event_inventory_no_no_event_proof
3131,TPEx,4,True,False,False,partial_event_inventory_no_no_event_proof
3135,TWSE,2,True,False,False,partial_event_inventory_no_no_event_proof
3138,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3141,TPEx,3,True,False,False,partial_event_inventory_no_no_event_proof
3147,TPEx,5,True,False,False,partial_event_inventory_no_no_event_proof
3152,TPEx,6,True,False,False,partial_event_inventory_no_no_event_proof
3162,TPEx,2,True,False,False,partial_event_inventory_no_no_event_proof
3163,TPEx,3,True,False,False,partial_event_inventory_no_no_event_proof
3167,TWSE,6,True,False,False,partial_event_inventory_no_no_event_proof
3169,TPEx,5,True,False,False,partial_event_inventory_no_no_event_proof
3189,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
3207,TPEx,2,True,False,False,partial_event_inventory_no_no_event_proof
3211,TPEx,4,True,False,False,partial_event_inventory_no_no_event_proof
3213,TPEx,4,True,False,False,partial_event_inventory_no_no_event_proof
3217,TPEx,4,True,False,False,partial_event_inventory_no_no_event_proof
3218,TPEx,6,True,False,False,partial_event_inventory_no_no_event_proof
3227,TPEx,4,True,False,False,partial_event_inventory_no_no_event_proof
3228,TPEx,2,True,False,False,partial_event_inventory_no_no_event_proof
3231,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3236,TPEx,5,True,False,False,partial_event_inventory_no_no_event_proof
3257,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3260,TPEx,5,True,False,False,partial_event_inventory_no_no_event_proof
3264,TPEx,3,True,False,False,partial_event_inventory_no_no_event_proof
3265,TPEx,5,True,False,False,partial_event_inventory_no_no_event_proof
3287,TPEx,2,True,False,False,partial_event_inventory_no_no_event_proof
3289,TPEx,12,True,False,False,partial_event_inventory_no_no_event_proof
3293,TPEx,8,True,False,False,partial_event_inventory_no_no_event_proof
3303,TPEx,4,True,False,False,partial_event_inventory_no_no_event_proof
3305,TWSE,3,True,False,False,partial_event_inventory_no_no_event_proof
3306,TPEx,4,True,False,False,partial_event_inventory_no_no_event_proof
3312,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3317,TPEx,7,True,False,False,partial_event_inventory_no_no_event_proof
3324,TPEx,4,True,False,False,partial_event_inventory_no_no_event_proof
