signal_date,signal_family,variant,ticker,name,timing_variant,entry_date,exit_date,entry_price_kind,entry_ready,exit_ready,path_ready,blocked_reason,adjusted_close_ready
2019-09-27,regime_switch,dispersion_route,2352,佳世達,next_day_close_entry_fixed_5td_exit,2019-10-01,2019-10-08,close,true,true,true,,false
2019-09-27,regime_switch,dispersion_route,2352,佳世達,next_day_open_entry_fixed_5td_exit,2019-10-01,2019-10-08,open,true,true,true,,false
2019-09-27,regime_switch,hybrid_pullback_base_mega_override,3231,緯創,same_week_close_to_next_rebalance_close_comparator,2019-09-27,2019-10-04,close,true,true,true,,false
2019-09-27,regime_switch,hybrid_pullback_base_mega_override,3231,緯創,next_day_close_entry_fixed_5td_exit,2019-10-01,2019-10-08,close,true,true,true,,false
2019-09-27,regime_switch,hybrid_pullback_base_mega_override,3231,緯創,next_day_open_entry_fixed_5td_exit,2019-10-01,2019-10-08,open,true,true,true,,false
2019-09-27,regime_switch,market_bias_pool_trend_route,3231,緯創,same_week_close_to_next_rebalance_close_comparator,2019-09-27,2019-10-04,close,true,true,true,,false
2019-09-27,regime_switch,market_bias_pool_trend_route,3231,緯創,next_day_close_entry_fixed_5td_exit,2019-10-01,2019-10-08,close,true,true,true,,false
2019-09-27,regime_switch,market_bias_pool_trend_route,3231,緯創,next_day_open_entry_fixed_5td_exit,2019-10-01,2019-10-08,open,true,true,true,,false
2019-09-27,regime_switch,pool_breadth_route,2352,佳世達,same_week_close_to_next_rebalance_close_comparator,2019-09-27,2019-10-04,close,true,true,true,,false
2019-09-27,regime_switch,pool_breadth_route,2352,佳世達,next_day_close_entry_fixed_5td_exit,2019-10-01,2019-10-08,close,true,true,true,,false
2019-09-27,regime_switch,pool_breadth_route,2352,佳世達,next_day_open_entry_fixed_5td_exit,2019-10-01,2019-10-08,open,true,true,true,,false
2019-10-04,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,6472,保瑞,same_week_close_to_next_rebalance_close_comparator,2019-10-04,2019-10-09,close,true,true,true,,false
2019-10-04,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,6472,保瑞,next_day_close_entry_fixed_5td_exit,2019-10-07,2019-10-16,close,true,true,true,,false
