ticker,date,source_rows,distinct_close_values,close_values,source_components
2359,2022-11-28,2,2,24.05|24.65,p1_official_raw_annual_compact|p3_official_raw_annual_compact
2360,2022-08-04,2,2,173.5|182.5,p1_official_raw_annual_compact|p3_official_raw_annual_compact
2360,2022-11-28,2,2,157.5|190.0,p1_official_raw_annual_compact|p3_official_raw_annual_compact
2360,2023-05-29,3,2,157.5|226.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2360,2026-03-11,3,2,157.5|1495.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2363,2025-07-17,3,2,51.1|51.6,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2368,2022-11-28,4,2,10.45|102.5,core_normalized_local_close_index|p1_official_raw_annual_compact|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2368,2025-07-17,3,2,319.5|330.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2368,2025-08-20,3,2,443.5|589.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2368,2025-08-21,3,2,449.0|589.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2368,2026-03-11,3,2,10.45|898.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2371,2022-08-04,2,2,33.05|35.4,p1_official_raw_annual_compact|p3_official_raw_annual_compact
2371,2022-11-28,4,2,18.2|31.65,core_normalized_local_close_index|p1_official_raw_annual_compact|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2371,2023-05-29,3,2,18.2|40.1,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2371,2024-01-04,3,2,17.4|41.95,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2374,2025-08-20,3,2,74.2|76.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2374,2025-08-21,3,2,76.5|76.7,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2376,2019-06-18,2,2,47.05|52.1,p1_official_raw_annual_compact|shifted_reusable_combined_close_index
2376,2023-05-29,3,2,52.1|186.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2376,2024-01-04,3,2,91.4|247.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2377,2023-10-11,3,2,76.6|168.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2377,2023-12-04,3,2,72.0|183.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2377,2024-01-04,3,2,149.0|187.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2379,2022-08-04,2,2,344.0|365.0,p1_official_raw_annual_compact|p3_official_raw_annual_compact
2382,2022-11-28,2,2,61.0|70.5,p1_official_raw_annual_compact|p3_official_raw_annual_compact
2383,2018-05-21,2,2,84.1|85.1,p1_official_raw_annual_compact|shifted_reusable_combined_close_index
2383,2022-08-04,2,2,162.0|174.5,p1_official_raw_annual_compact|p3_official_raw_annual_compact
2383,2023-10-11,3,2,101.0|431.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2383,2023-12-04,3,2,94.5|391.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2383,2025-07-17,3,2,973.0|1025.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2385,2022-08-04,2,2,78.0|83.3,p1_official_raw_annual_compact|p3_official_raw_annual_compact
2388,2022-08-04,2,2,70.0|77.3,p1_official_raw_annual_compact|p3_official_raw_annual_compact
2388,2022-11-28,2,2,10.3|68.2,p1_official_raw_annual_compact|p3_official_raw_annual_compact
2388,2023-10-11,3,2,11.65|108.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2402,2023-05-29,3,2,16.15|28.7,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2402,2023-10-11,3,2,16.4|37.4,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2402,2023-12-04,3,2,16.15|35.3,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2402,2025-08-20,3,2,55.2|58.1,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2402,2025-08-21,3,2,55.2|60.6,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2404,2023-10-11,3,2,51.3|222.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2404,2024-01-04,3,2,203.5|273.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2404,2026-03-11,3,2,59.6|1085.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2405,2024-01-04,3,2,9.72|17.75,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2412,2022-08-04,4,2,120.5|122.5,core_normalized_local_close_index|p1_official_raw_annual_compact|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2412,2022-11-28,2,2,105.0|110.5,p1_official_raw_annual_compact|p3_official_raw_annual_compact
2412,2023-05-29,3,2,105.0|126.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2412,2026-03-11,3,2,105.0|135.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2419,2022-08-04,4,2,27.1|29.45,core_normalized_local_close_index|p1_official_raw_annual_compact|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2421,2025-08-20,3,2,132.5|151.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2421,2025-08-21,3,2,136.5|151.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2427,2023-10-11,3,2,8.61|27.85,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2436,2023-10-11,3,2,21.45|70.3,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2436,2023-12-04,3,2,30.1|76.1,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2439,2023-12-04,3,2,116.0|199.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2449,2022-08-04,2,2,37.45|39.6,p1_official_raw_annual_compact|p3_official_raw_annual_compact
2449,2025-08-20,3,2,127.5|208.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2449,2025-08-21,3,2,133.0|208.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2451,2026-03-11,3,2,81.9|229.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2454,2022-08-04,4,2,684.0|702.0,core_normalized_local_close_index|p1_official_raw_annual_compact|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2454,2022-11-28,4,2,287.5|703.0,core_normalized_local_close_index|p1_official_raw_annual_compact|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2454,2023-10-11,3,2,211.5|814.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2454,2025-07-17,3,2,1390.0|1410.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2455,2023-10-11,3,2,48.75|153.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2455,2023-12-04,3,2,104.0|169.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2455,2025-08-20,3,2,131.0|136.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2455,2025-08-21,3,2,131.0|142.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2457,2022-11-28,4,2,13.95|41.7,core_normalized_local_close_index|p1_official_raw_annual_compact|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2458,2023-10-11,3,2,33.95|137.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2458,2023-12-04,3,2,49.75|149.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2458,2024-01-04,3,2,138.5|156.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2468,2022-11-28,4,2,11.2|30.4,core_normalized_local_close_index|p1_official_raw_annual_compact|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2474,2023-05-29,3,2,189.0|325.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
