family,date,market,route_status,required_tickers,ready_tickers,blocked_tickers,retrieval_attempted,source_url,source_hash
institutional,2023-12-12,TWSE,reused_existing_compact,72,72,0,False,local_compact,
institutional,2023-12-13,TPEx,reused_existing_compact,28,28,0,False,local_compact,
institutional,2023-12-13,TWSE,reused_existing_compact,72,72,0,False,local_compact,
institutional,2023-12-14,TPEx,reused_existing_compact,32,32,0,False,local_compact,
institutional,2023-12-14,TWSE,reused_existing_compact,96,96,0,False,local_compact,
institutional,2023-12-15,TPEx,reused_existing_compact,24,24,0,False,local_compact,
institutional,2023-12-15,TWSE,reused_existing_compact,73,73,0,False,local_compact,
institutional,2023-12-18,TPEx,reused_existing_compact,24,24,0,False,local_compact,
institutional,2023-12-18,TWSE,reused_existing_compact,73,73,0,False,local_compact,
institutional,2023-12-19,TPEx,reused_existing_compact,24,24,0,False,local_compact,
institutional,2023-12-19,TWSE,reused_existing_compact,73,73,0,False,local_compact,
institutional,2023-12-20,TPEx,reused_existing_compact,24,24,0,False,local_compact,
institutional,2023-12-20,TWSE,reused_existing_compact,73,73,0,False,local_compact,
institutional,2023-12-21,TPEx,reused_existing_compact,29,29,0,False,local_compact,
institutional,2023-12-21,TWSE,reused_existing_compact,91,91,0,False,local_compact,
institutional,2023-12-22,TPEx,reused_existing_compact,26,26,0,False,local_compact,
institutional,2023-12-22,TWSE,reused_existing_compact,81,81,0,False,local_compact,
institutional,2023-12-25,TPEx,reused_existing_compact,26,26,0,False,local_compact,
institutional,2023-12-25,TWSE,reused_existing_compact,81,81,0,False,local_compact,
institutional,2023-12-26,TPEx,reused_existing_compact,26,26,0,False,local_compact,
institutional,2023-12-26,TWSE,reused_existing_compact,81,81,0,False,local_compact,
institutional,2023-12-27,TPEx,reused_existing_compact,26,26,0,False,local_compact,
institutional,2023-12-27,TWSE,reused_existing_compact,81,81,0,False,local_compact,
institutional,2023-12-28,TPEx,reused_existing_compact,31,31,0,False,local_compact,
institutional,2023-12-28,TWSE,reused_existing_compact,89,89,0,False,local_compact,
institutional,2023-12-29,TPEx,reused_existing_compact,25,25,0,False,local_compact,
institutional,2023-12-29,TWSE,reused_existing_compact,77,77,0,False,local_compact,
institutional,2024-01-02,TPEx,reused_existing_compact,25,25,0,False,local_compact,
institutional,2024-01-02,TWSE,reused_existing_compact,77,77,0,False,local_compact,
institutional,2024-01-03,TPEx,reused_existing_compact,25,25,0,False,local_compact,
institutional,2024-01-03,TWSE,reused_existing_compact,77,77,0,False,local_compact,
institutional,2024-01-04,TPEx,reused_existing_compact,25,25,0,False,local_compact,
institutional,2024-01-04,TWSE,reused_existing_compact,77,77,0,False,local_compact,
institutional,2024-01-05,TPEx,reused_existing_compact,26,26,0,False,local_compact,
institutional,2024-01-05,TWSE,reused_existing_compact,81,81,0,False,local_compact,
institutional,2024-01-08,TPEx,reused_existing_compact,32,32,0,False,local_compact,
institutional,2024-01-08,TWSE,reused_existing_compact,84,84,0,False,local_compact,
institutional,2024-01-09,TPEx,reused_existing_compact,32,32,0,False,local_compact,
institutional,2024-01-09,TWSE,reused_existing_compact,84,84,0,False,local_compact,
institutional,2024-01-10,TPEx,reused_existing_compact,37,37,0,False,local_compact,
institutional,2024-01-10,TWSE,reused_existing_compact,103,103,0,False,local_compact,
institutional,2024-01-11,TPEx,reused_existing_compact,37,37,0,False,local_compact,
institutional,2024-01-11,TWSE,reused_existing_compact,103,103,0,False,local_compact,
institutional,2024-01-12,TPEx,reused_existing_compact,31,31,0,False,local_compact,
institutional,2024-01-12,TWSE,reused_existing_compact,83,83,0,False,local_compact,
institutional,2024-01-15,TPEx,reused_existing_compact,31,31,0,False,local_compact,
institutional,2024-01-15,TWSE,reused_existing_compact,83,83,0,False,local_compact,
institutional,2024-01-16,TPEx,reused_existing_compact,31,31,0,False,local_compact,
institutional,2024-01-16,TWSE,reused_existing_compact,83,83,0,False,local_compact,
institutional,2024-01-17,TPEx,reused_existing_compact,39,39,0,False,local_compact,
institutional,2024-01-17,TWSE,reused_existing_compact,96,96,0,False,local_compact,
institutional,2024-01-18,TPEx,reused_existing_compact,39,39,0,False,local_compact,
institutional,2024-01-18,TWSE,reused_existing_compact,96,96,0,False,local_compact,
institutional,2024-01-19,TPEx,reused_existing_compact,35,35,0,False,local_compact,
institutional,2024-01-19,TWSE,reused_existing_compact,78,78,0,False,local_compact,
institutional,2024-01-22,TPEx,reused_existing_compact,35,35,0,False,local_compact,
institutional,2024-01-22,TWSE,reused_existing_compact,78,78,0,False,local_compact,
institutional,2024-01-23,TPEx,reused_existing_compact,40,40,0,False,local_compact,
institutional,2024-01-23,TWSE,reused_existing_compact,88,88,0,False,local_compact,
institutional,2024-01-24,TPEx,reused_existing_compact,40,40,0,False,local_compact,
institutional,2024-01-24,TWSE,reused_existing_compact,88,88,0,False,local_compact,
institutional,2024-01-25,TPEx,reused_existing_compact,40,40,0,False,local_compact,
institutional,2024-01-25,TWSE,reused_existing_compact,88,88,0,False,local_compact,
institutional,2024-01-26,TPEx,reused_existing_compact,33,33,0,False,local_compact,
institutional,2024-01-26,TWSE,accepted,80,79,1,True,https://www.twse.com.tw/fund/T86?date=20240126&selectType=ALLBUT0999&response=json,6d63cfc46102727e6824fcdbd402f68d6d009af9c540b76f013b6842ed2f69fd
institutional,2024-01-29,TPEx,reused_existing_compact,33,33,0,False,local_compact,
institutional,2024-01-29,TWSE,reused_existing_compact,80,80,0,False,local_compact,
institutional,2024-01-30,TPEx,reused_existing_compact,38,38,0,False,local_compact,
institutional,2024-01-30,TWSE,reused_existing_compact,98,98,0,False,local_compact,
institutional,2024-01-31,TPEx,reused_existing_compact,38,38,0,False,local_compact,
institutional,2024-01-31,TWSE,reused_existing_compact,98,98,0,False,local_compact,
institutional,2024-02-01,TPEx,reused_existing_compact,38,38,0,False,local_compact,
institutional,2024-02-01,TWSE,reused_existing_compact,98,98,0,False,local_compact,
institutional,2024-02-02,TPEx,reused_existing_compact,31,31,0,False,local_compact,
institutional,2024-02-02,TWSE,reused_existing_compact,86,86,0,False,local_compact,
institutional,2024-02-05,TPEx,reused_existing_compact,28,28,0,False,local_compact,
institutional,2024-02-05,TWSE,reused_existing_compact,79,79,0,False,local_compact,
institutional,2024-02-15,TPEx,reused_existing_compact,33,33,0,False,local_compact,
institutional,2024-02-15,TWSE,reused_existing_compact,100,100,0,False,local_compact,
institutional,2024-02-16,TPEx,reused_existing_compact,28,28,0,False,local_compact,
institutional,2024-02-16,TWSE,reused_existing_compact,85,85,0,False,local_compact,
institutional,2024-02-19,TPEx,reused_existing_compact,28,28,0,False,local_compact,
institutional,2024-02-19,TWSE,reused_existing_compact,85,85,0,False,local_compact,
institutional,2024-02-20,TPEx,reused_existing_compact,28,28,0,False,local_compact,
