family,ticker,route_scope,source_url,source_hash,cache_path,cache_reused,requested_rows,accepted_rows,blocked_rows,status
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20240711&selectType=ALLBUT0999&response=json,0faaad0f8b8fd675bf330cff758a2d41967cdcb507f0d01783c35c084e505908,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20240712&selectType=ALLBUT0999&response=json,8a98ffd2c3b86af1018bc5d35a3325af91aba3869d6c32f2e274c218fd73de6f,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20240715&selectType=ALLBUT0999&response=json,cdd1ef4ad6c49617f66671f66e7c144be56a8a837e82d0d7e85c28b8a089da46,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20240716&selectType=ALLBUT0999&response=json,cf33b33eb068f6d94aa26832d81a2674ed10c38ba1558107089c51c904ccbc77,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20240717&selectType=ALLBUT0999&response=json,0e991973501a24df312e640c38cd7f3fa8ffe43171fbc9bdccf89c6312730d50,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20240718&selectType=ALLBUT0999&response=json,49e5455e17cb8f42ce31ed3d6937c5ebd869f9420ab061b88acda26d02c9a8ad,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20240719&selectType=ALLBUT0999&response=json,76ffe53c6e5990f598a3e32ff2d0cc78e394d9db330d4d02e8b27f22998929d5,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20240722&selectType=ALLBUT0999&response=json,ada9870a24df6e805d0abaf3482fea9286452dbf1f9e45c72f2e099dd06be955,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20240729&selectType=ALLBUT0999&response=json,fc31190b4ad2676e100287dc68bb4156117e732d53efa5469c65b396e78d70ad,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20240730&selectType=ALLBUT0999&response=json,4bfc9ec96c9d7486c36a01c11fe5f24d4df52b3d76b1874bc88d33c920390b9f,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20240731&selectType=ALLBUT0999&response=json,93861978a14111bfe1ad28c6f0051f62b67e6de6a0c12c1f94eadd433172c868,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20240801&selectType=ALLBUT0999&response=json,f338cd185a2adc8eb0bec4ab31b0a9ab48d6a38671a310cc2f47478598e1f22c,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20240802&selectType=ALLBUT0999&response=json,6c1fe45e0177b4d18c3f88697be02f0174bc021a7d7416e0bf556f4fcd715a87,existing_compact,True,1,1,0,reused
