ticker,name,date,period,market,market_cap,free_float_market_cap,shares_outstanding,capital_stock,source_price_date,close_price,source_date,available_date,source_url,source_route,source_type,formal_exact,derivation,raw_source_path
3078,僑威,2015-01-05,2015-01-05,TPEx,4388647535,,227391064,,2015-01-05,19.3000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
3083,網龍,2015-01-05,2015-01-05,TPEx,5627202206,,86439358,,2015-01-05,65.1000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
3086,華義,2015-01-05,2015-01-05,TPEx,782113200,,59251000,,2015-01-05,13.2000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
3088,艾訊,2015-01-05,2015-01-05,TPEx,5993395101,,78345034,,2015-01-05,76.5000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
3089,遠昇,2015-01-05,2015-01-05,TPEx,3033207756,,69330463,,2015-01-05,43.7500,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
3092,鴻碩,2015-01-05,2015-01-05,TPEx,1247772690,,63824690,,2015-01-05,19.5500,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
3095,及成,2015-01-05,2015-01-05,TPEx,666585558,,109276321,,2015-01-05,6.1000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
3105,穩懋,2015-01-05,2015-01-05,TPEx,23193066500,,742178128,,2015-01-05,31.2500,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
3114,好德,2015-01-05,2015-01-05,TPEx,845231378,,50013691,,2015-01-05,16.9000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
3115,寶島極,2015-01-05,2015-01-05,TPEx,616136160,,43697600,,2015-01-05,14.1000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
