ticker,name,market,event_type,event_date,source_date,source_url,source_id,source_type,formal_ready,blocked_reason,raw_event_date,notes
730153,智崴統一54購01,TPEx,resumption,2026-01-22,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150122,TPEx historical suspended/resumed trading endpoint.
730237,智崴統一52購03,TPEx,suspension,2026-01-21,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150121,TPEx historical suspended/resumed trading endpoint.
730237,智崴統一52購03,TPEx,resumption,2026-01-22,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150122,TPEx historical suspended/resumed trading endpoint.
732050,信立統一59購01,TPEx,suspension,2026-04-28,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150428,TPEx historical suspended/resumed trading endpoint.
732050,信立統一59購01,TPEx,resumption,2026-04-29,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150429,TPEx historical suspended/resumed trading endpoint.
734208,信立統一56購01,TPEx,suspension,2026-04-28,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150428,TPEx historical suspended/resumed trading endpoint.
734208,信立統一56購01,TPEx,resumption,2026-04-29,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150429,TPEx historical suspended/resumed trading endpoint.
734616,信立統一56購02,TPEx,suspension,2026-04-28,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150428,TPEx historical suspended/resumed trading endpoint.
734616,信立統一56購02,TPEx,resumption,2026-04-29,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150429,TPEx historical suspended/resumed trading endpoint.
734628,信立元大55購01,TPEx,suspension,2026-04-28,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150428,TPEx historical suspended/resumed trading endpoint.
734628,信立元大55購01,TPEx,resumption,2026-04-29,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150429,TPEx historical suspended/resumed trading endpoint.
735090,信立永豐56購01,TPEx,suspension,2026-04-28,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150428,TPEx historical suspended/resumed trading endpoint.
735090,信立永豐56購01,TPEx,resumption,2026-04-29,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150429,TPEx historical suspended/resumed trading endpoint.
735653,信立統一57購01,TPEx,suspension,2026-04-28,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150428,TPEx historical suspended/resumed trading endpoint.
735653,信立統一57購01,TPEx,resumption,2026-04-29,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150429,TPEx historical suspended/resumed trading endpoint.
736287,信立統一57購02,TPEx,suspension,2026-04-28,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150428,TPEx historical suspended/resumed trading endpoint.
736287,信立統一57購02,TPEx,resumption,2026-04-29,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150429,TPEx historical suspended/resumed trading endpoint.
736401,信立凱基55購01,TPEx,suspension,2026-04-28,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150428,TPEx historical suspended/resumed trading endpoint.
736401,信立凱基55購01,TPEx,resumption,2026-04-29,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150429,TPEx historical suspended/resumed trading endpoint.
736496,信立元大55購02,TPEx,suspension,2026-04-28,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150428,TPEx historical suspended/resumed trading endpoint.
736496,信立元大55購02,TPEx,resumption,2026-04-29,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150429,TPEx historical suspended/resumed trading endpoint.
736742,信立統一57購03,TPEx,suspension,2026-04-28,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150428,TPEx historical suspended/resumed trading endpoint.
736742,信立統一57購03,TPEx,resumption,2026-04-29,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150429,TPEx historical suspended/resumed trading endpoint.
737278,信立群益55購01,TPEx,suspension,2026-04-28,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150428,TPEx historical suspended/resumed trading endpoint.
737278,信立群益55購01,TPEx,resumption,2026-04-29,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150429,TPEx historical suspended/resumed trading endpoint.
8047,星雲,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
