batch_key,metric,request_ticker_count,route_status,http_status,response_bytes,response_hash,attempt_count,source_url,retrieved_at,error,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
DebtRatio_b016,DebtRatio,20,accepted,200,39323,a6c4bb751a431dfeebbc9d1301ea34abf65cd20a0ea20a2f212726838cd60689,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
DebtRatio_b018,DebtRatio,20,accepted,200,35576,b607cc8e4850ee866372d4e11cf32f624afbb82a9f26d6e74778aee91ab36dad,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
DebtRatio_b020,DebtRatio,20,accepted,200,38381,5d505991600bf112c5b236b8f2316185107ce254ef7283135ea21eb0307be0eb,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
DebtRatio_b024,DebtRatio,20,accepted,200,40052,b870ced58df085e3765592497612ae8d97196af844b90f0e1b054f924b625330,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
DebtRatio_b021,DebtRatio,20,accepted,200,37434,6fc423401732c603d4ea43c6609df0a36ed7b7660494a735e854b4c3e3842a03,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
DebtRatio_b019,DebtRatio,20,accepted,200,31024,108b6c14192ff8edb28ae6452cac37fdb5bf71e5d32991fe2b69676030710b18,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
DebtRatio_b025,DebtRatio,20,accepted,200,40165,e5b4d956e78cb352040c18a52eb9d2f73bd6e7ce06251cc085a49d1812f17dd4,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
DebtRatio_b022,DebtRatio,20,accepted,200,40180,3b58855650665693fd76e9e0bd573fa34bdf626d3e33e93ae557f59ee2e99583,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
DebtRatio_b026,DebtRatio,20,accepted,200,39320,7aad6758c24ce46857099ada992483261a0c4757e39b5af9f165ff86b41618f0,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
DebtRatio_b023,DebtRatio,20,accepted,200,39749,c8532c25fcd80b74c46120a1f8b3dbe2b4fab03655440c0881e33795518e25c1,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
DebtRatio_b028,DebtRatio,20,accepted,200,30953,cce1f81faf8eaf409a8c572e7676d96e8ce47f6b7aebf588c372633c659d59e4,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
